Symbol	Date	EMA10T7	EMA10T6	EMA10T5	EMA10T4	EMA10T3	EMA10T2	EMA10T1	EMA10T0	EMA20T7	EMA20T6	EMA20T5	EMA20T4	EMA20T3	EMA20T2	EMA20T1	EMA20T0
PCRX	21.07.2021	58,2246677478	57,7456372760	57,3318852659	57,1024515257	56,7747329278	56,6484181829	56,6268873823	56,9656354361	59,3664137725	59,0067553325	58,6699216075	58,4223099968	58,1249470673	57,9301903781	57,7968387973	57,8628543098
GDS	21.07.2021	73,6280274760	73,6683858393	73,4923151318	73,4737122696	73,2694006704	73,1367825332	73,3664587137	73,4816480385	75,0852000485	74,9675618033	74,7516032457	74,6219266880	74,4055525724	74,2278809860	74,2442734184	74,2210092833
BBD	21.07.2021	4,8994911247	4,8850382242	4,8895767011	4,8769264230	4,8502125314	4,7938102460	4,7585720021	4,7370134320	5,0412500238	5,0201786093	5,0096853939	4,9916201346	4,9667039331	4,9260654597	4,8950115973	4,8707247658
PSAGU	21.07.2021	9,9667604161	9,9709857534	9,9671701272	9,9549573074	9,9449650004	9,9422441467	9,9400179937	9,9363783723	9,9650227489	9,9674015129	9,9657442078	9,9594828184	9,9538177517	9,9515494235	9,9494971265	9,9466878836
PMO	21.07.2021	14,2185907054	14,2224832628	14,2274863059	14,2333979283	14,2327800399	14,2159110042	14,2057453393	14,1937917037	14,1645973892	14,1717785684	14,1792282286	14,1869208000	14,1910235374	14,1861641856	14,1836723438	14,1795131057
VITL	21.07.2021	20,1299049653	19,8826496003	19,6585314218	19,4951621140	19,4414964138	19,3884969965	19,3833158354	19,4336220194	20,5603199589	20,3898133397	20,2241167949	20,0846771219	20,0004222306	19,9194296009	19,8661506494	19,8465172397
GRMN	21.07.2021	146,9224312215	147,3165339699	147,6898905422	147,9480923727	148,2102572849	148,1047568482	148,4148006137	149,0612007241	145,3275289799	145,6858592044	146,0367292914	146,3294217979	146,6209053781	146,7170100928	147,0115803277	147,4838108889
RVLV	21.07.2021	68,8698955457	69,2517329412	68,7968724064	68,0210772015	67,6590629429	67,0646877514	66,9620172512	67,1961959328	66,2219800854	66,6741725745	66,6813942341	66,4764994289	66,4339755575	66,2393111605	66,2641386691	66,4532683196
ETJ	21.07.2021	11,4983681823	11,5168467640	11,5337836536	11,5476411087	11,5698881937	11,5699084666	11,5844704943	11,6018395508	11,4497331399	11,4640443058	11,4779448154	11,4905214669	11,5076146678	11,5135560990	11,5265507199	11,5411649661
CTSH	21.07.2021	69,2701362276	69,1664745404	69,1780252343	69,1147482519	68,9557027268	68,5019384282	68,3397679159	68,2325373857	69,7255917330	69,6279160392	69,5900195932	69,5176369492	69,3959570363	69,1163419933	68,9728809092	68,8564160607
MMC	21.07.2021	141,4054686539	141,3408385444	141,2715963934	141,2313066949	141,2492512651	140,8475679962	141,0025550784	141,2548176805	140,2651924463	140,3399363135	140,3989906373	140,4609918196	140,5437546779	140,4005393072	140,5242971778	140,7019831027
MUDSW	21.07.2021	3,8393216947	3,8048995858	3,7694632784	3,7213790667	3,6293101299	3,5439810310	3,4887117544	3,4725823618	3,9024483273	3,8784056385	3,8528431868	3,8197152751	3,7621233360	3,7047782645	3,6605136688	3,6357028523
